S(n),dS(n),S(p),dS(p),Q(4B-),dQ(4B-),"Q(d,a)","dQ(d,a)","Q(p,a)","dQ(p,a)","Q(n,a)","dQ(n,a)",Element_w_A
4212.14,234.18,17859.56,713.38,41571.1,180.24,4880.59,324.36,6350.27,182.54,-16224.15,625.93,37Al
2206.7,134.56,19810.87,187.89,24376.15,113.81,4363.02,114.05,1292.83,113.85,-9248.46,117.42,37Si
6816.28,40.15,13848.84,81.21,5804.2,37.95,6106.27,52.21,5824.91,40.49,-10349.31,38.07,37P
4303.6,0.06,13934.35,13.11,-13760.35,0.66,8672.19,1.86,2516.34,0.83,-1293.16,14.12,37S
10310.85,0.06,8386.38,0.19,-35282.0,300.0,7795.47,0.07,3034.2,0.07,-1566.44,0.81,37Cl
8787.44,0.21,8714.63,0.21,,,8776.67,0.21,-1643.53,0.21,4630.42,0.21,37Ar
15454.45,0.35,1857.63,0.09,,,8957.89,0.69,-1557.85,0.12,5286.28,0.11,37K
14756.23,40.01,3007.97,0.72,,,8747.63,0.82,-7052.0,196.0,10888.63,0.64,37Ca
19902.0,423.0,-2682.0,303.0,,,9443.0,358.0,-5467.0,423.0,10387.0,358.0,37Sc
2209.0,861.0,26749.0,851.0,60935.0,503.0,-1518.0,844.0,707.0,838.0,,,38Mg
1671.02,415.58,19290.59,792.94,46007.96,374.46,6540.51,785.27,5434.13,461.46,-16375.0,768.0,38Al
5670.1,154.71,21268.83,208.49,30544.52,104.79,590.12,182.57,917.48,105.05,-14163.68,289.31,38Si
3696.88,81.9,15339.02,134.98,14179.19,72.58,8525.37,102.09,4633.95,80.95,-8751.43,72.95,38P
8036.1,7.17,15154.18,38.62,-4802.7,7.17,4100.64,14.95,2860.65,7.41,-6823.34,36.57,38S
6107.88,0.08,10190.66,0.21,-25549.0,200.0,11576.83,0.2,3912.16,0.11,706.1,1.87,38Cl
11838.47,0.28,10242.25,0.2,-45584.0,300.0,5517.99,0.2,-837.24,0.2,-222.21,0.2,38Ar
12071.87,0.22,5142.06,0.28,,,12141.59,0.2,-889.42,0.71,5859.17,0.2,38K
16993.75,0.66,4547.27,0.22,,,6069.37,0.39,-6021.55,0.55,6635.19,0.71,38Ca
15841.0,361.0,-1598.0,200.0,,,12912.0,204.0,-4173.0,280.0,12570.0,200.0,38Sc
,,-61.0,424.0,,,6229.0,423.0,,,11728.0,358.0,38Ti
-130.0,100.0,,,65438.0,515.0,-548.0,857.0,837.0,850.0,,,39Mg
3631.0,548.0,20713.0,642.0,50450.0,400.0,3150.0,805.0,5134.0,798.0,-20006.0,787.0,39Al
1580.67,171.32,21178.48,398.23,35562.54,135.62,3221.59,225.51,1234.02,201.79,-12413.4,703.42,39Si
6224.39,134.0,15893.31,153.85,21032.56,112.64,4507.68,160.13,4525.54,133.58,-13078.62,187.19,39P
4372.78,50.51,15830.07,88.14,4120.04,50.0,6544.14,62.77,1952.42,51.69,-5080.14,87.49,39S
8073.42,1.73,10227.97,7.38,-15627.5,24.06,7807.02,1.74,5727.98,1.74,-3902.77,13.23,39Cl
6598.69,5.0,10733.06,5.0,-35442.0,200.0,9230.15,5.0,1143.87,5.0,3068.34,5.0,39Ar
13077.75,0.2,6381.34,0.19,,,7851.28,0.21,1288.4,0.03,1361.22,0.04,39K
13295.52,0.63,5770.92,0.63,,,8228.3,0.6,-5001.58,0.69,8595.24,0.6,39Ca
17995.0,202.0,-596.82,24.0,,,9674.16,24.01,-2857.5,46.65,8890.76,24.0,39Sc
16741.0,361.0,839.0,283.0,,,9391.0,361.0,-8287.0,359.0,14298.0,204.0,39Ti
1997.0,716.0,,,71188.0,500.0,,,-320.0,850.0,,,40Mg
1132.0,565.0,21974.0,650.0,55148.0,401.0,4227.0,642.0,4243.0,805.0,-20298.0,795.0,40Al
4961.99,370.78,22510.0,528.0,40469.57,345.12,-69.37,509.24,484.17,389.35,-17135.39,779.51,40Si
3411.05,190.46,17723.69,204.83,25421.12,153.58,6766.73,185.93,3321.2,191.15,-12277.53,236.8,40P
7746.5,50.16,17352.18,112.72,12008.54,3.98,2494.52,72.69,1022.21,38.16,-10619.93,113.88,40S
5828.93,32.11,11684.12,59.4,-7034.48,32.19,10014.2,32.86,4202.66,32.07,-2915.41,49.68,40Cl
9869.02,5.0,12528.66,1.73,-26189.51,160.0,5469.01,0.1,1585.7,0.05,-2497.08,0.2,40Ar
7799.62,0.06,7582.27,5.0,-45705.0,300.0,11890.14,0.2,2276.23,0.21,3872.45,0.08,40K
15635.0,0.6,8328.16,0.02,,,4665.18,0.2,-5182.13,0.1,1747.68,0.21,40Ca
14421.94,24.17,529.6,2.89,,,12245.97,2.83,-2523.21,2.9,9923.27,2.83,40Sc
19122.0,256.0,1966.65,161.79,,,6110.0,256.0,-7506.0,340.0,9932.08,160.0,40Ti
,,-2681.0,361.0,,,12011.0,424.0,,,14296.0,424.0,40V
2241.0,640.0,22219.0,707.0,60727.0,505.0,1856.0,716.0,4210.0,709.0,,,41Al
1381.33,653.3,22759.0,684.0,45187.17,554.7,2180.0,684.0,773.86,669.27,-16308.0,749.0,41Si
4936.71,195.0,17698.42,365.44,30579.78,120.16,3410.69,181.13,4054.59,159.44,-15543.22,393.27,41P
4242.05,5.71,18183.18,153.64,16129.31,4.1,4476.86,112.72,477.04,72.7,-9191.88,104.87,41S
7820.69,75.84,11758.31,68.84,1335.22,68.72,6566.28,84.99,4418.07,69.1,-7039.22,99.95,41Cl
6098.93,0.35,12798.66,32.07,-17369.97,27.95,7443.51,1.77,1594.65,0.36,-559.9,7.18,41Ar
10095.37,0.06,7808.62,0.0,-35880.0,200.0,8393.45,5.0,4019.33,0.2,-115.04,0.1,41K
8362.82,0.14,8891.37,0.15,,,9380.11,0.14,-1473.08,0.24,5223.33,0.24,41Ca
16190.39,2.83,1085.0,0.08,,,9351.1,0.6,-1719.86,0.21,5804.74,0.21,41Sc
14918.47,162.42,2463.17,28.09,,,9185.98,36.84,-6584.0,202.0,12007.36,27.95,41Ti
19921.0,361.0,-1882.0,256.0,,,8831.0,283.0,-5685.0,361.0,10216.0,283.0,41V
1392.0,781.0,,,64932.0,603.0,2461.0,781.0,2689.0,789.0,,,42Al
3721.0,747.0,24239.0,707.0,50892.0,500.0,-409.0,640.0,684.0,640.0,-20159.0,716.0,42Si
2081.81,336.56,18398.9,637.6,36031.77,314.38,6290.87,466.84,3553.44,342.35,-13994.0,508.0,42P
6700.49,4.96,19946.95,120.2,20909.5,2.8,1187.43,153.61,0.94,112.68,-14311.7,135.56,42S
5595.9,90.98,13112.16,59.76,7289.39,59.62,8716.88,59.75,3194.95,77.81,-6410.73,127.45,42Cl
9426.49,5.79,14404.46,68.97,-9318.0,5.78,3845.94,32.58,241.58,6.03,-5613.61,50.33,42Ar
7533.8,0.11,9243.49,0.36,-27402.0,196.0,10728.67,0.11,3084.22,5.0,424.58,1.74,42K
11480.67,0.06,10276.67,0.15,-45277.0,400.0,5699.05,0.16,124.0,0.15,341.35,5.0,42Ca
11550.06,0.16,4272.23,0.1,,,13436.04,0.17,25.6,0.62,7332.44,0.17,42Sc
17478.45,27.95,3751.23,0.27,,,6129.47,2.84,-6067.91,24.0,7824.43,0.66,42Ti
16011.0,280.0,-789.0,198.0,,,11942.0,253.0,-4956.0,280.0,12199.0,197.0,42V
,,879.0,447.0,,,5271.0,500.0,,,10176.0,447.0,42Cr
1151.0,1000.0,,,71179.0,803.0,,,3534.0,944.0,,,43Al
1440.0,778.0,24288.0,846.0,55111.0,596.0,392.0,778.0,375.0,718.0,-19603.0,778.0,43Si
4401.23,637.6,19079.0,747.0,41255.21,554.7,3270.96,784.47,4114.2,653.3,-17264.0,684.0,43P
2629.03,5.7,20494.17,314.42,26213.36,4.98,3495.11,120.27,782.97,153.66,-11978.74,345.15,43S
7399.06,85.91,13810.73,61.92,12028.59,61.89,5559.88,61.99,3542.39,61.99,-10398.74,165.57,43Cl
5658.45,7.85,14467.01,59.85,-2688.73,8.98,6008.19,68.93,412.06,32.5,-3525.56,6.64,43Ar
9624.68,0.42,9441.68,5.79,-18659.03,42.85,7202.92,0.54,3328.56,0.41,-3371.17,32.07,43K
7932.89,0.17,10675.77,0.25,-36439.0,400.0,7861.53,0.23,-9.28,0.23,2277.47,0.23,43Ca
12138.27,1.86,4929.83,1.86,,,9660.59,1.86,3522.34,1.86,2993.79,1.86,43Sc
12287.73,7.25,4488.9,7.25,,,10032.14,7.25,-3933.69,7.78,11171.7,7.25,43Ti
18368.0,200.0,100.65,42.85,,,8491.99,51.16,-4201.92,165.64,8253.38,42.94,43V
16771.0,565.0,1639.0,445.0,,,8420.0,447.0,-9276.0,500.0,12527.0,430.0,43Cr
2659.0,843.0,25796.0,998.0,61186.0,596.0,-876.0,846.0,-43.0,778.0,,,44Si
2301.0,747.0,19940.0,778.0,46232.0,500.0,4691.0,707.0,3195.0,747.0,-17323.0,707.0,44P
5080.09,7.21,21173.03,554.73,32264.44,5.23,496.83,314.42,639.59,120.28,-15677.5,554.73,44S
4296.33,149.7,15478.03,136.41,17431.46,136.33,7964.03,136.35,3488.11,136.38,-9758.35,181.72,44Cl
8734.76,5.54,15802.72,61.88,4875.31,1.73,2869.32,59.64,-502.01,68.74,-8018.28,4.39,44Ar
7277.42,0.59,11060.65,5.33,-11665.11,181.64,9351.99,5.79,2150.07,0.54,-2827.9,68.72,44K
11131.17,0.23,12182.26,0.52,-28108.0,300.0,4264.16,0.34,-1045.08,0.33,-2754.77,0.48,44Ca
9699.2,2.55,6696.13,1.74,-44846.0,500.0,11442.07,1.75,2185.96,1.75,3389.96,1.76,44Sc
16298.8,7.28,8649.44,1.99,,,5283.39,0.72,-4042.1,0.7,3235.72,0.71,44Ti
14271.34,186.63,2084.27,181.79,,,11699.1,181.64,-3554.79,183.78,10172.43,181.64,44V
19462.0,500.0,2733.0,303.0,,,4970.0,358.0,-8817.0,361.0,7984.0,301.0,44Cr
,,-1711.0,640.0,,,11011.0,640.0,,,12356.0,539.0,44Mn
-905.0,919.0,,,67261.0,700.0,1181.0,1063.0,2254.0,922.0,,,45Si
2922.0,707.0,20202.0,778.0,52215.0,500.0,3209.0,778.0,3994.0,707.0,-18854.0,781.0,45P
2856.67,1035.37,21729.0,1150.0,36822.59,1035.36,2041.39,1174.59,-135.27,1082.03,-14813.0,1150.0,45S
5949.34,192.68,16347.28,136.26,22809.35,136.17,4643.72,136.25,4239.26,136.19,-13625.88,342.6,45Cl
5168.86,1.66,16675.24,136.32,9239.04,0.99,5099.52,61.86,-74.97,59.62,-6486.65,2.84,45Ar
8905.46,0.67,11231.35,1.67,-4729.62,1.02,6104.98,5.34,2671.09,5.8,-6137.47,59.62,45K
7414.82,0.17,12319.65,0.56,-21297.37,35.4,6474.02,0.55,-926.09,0.38,-743.1,5.79,45Ca
11327.23,1.88,6892.19,0.73,-35822.0,400.0,8047.73,0.7,2339.4,0.69,-403.47,0.68,45Sc
9532.59,1.1,8482.83,1.95,-52772.0,400.0,7889.07,2.04,-2024.63,0.86,5183.81,0.86,45Ti
15840.95,181.64,1626.42,1.12,,,8145.87,7.3,-1917.29,0.91,5881.54,0.89,45V
14226.0,302.0,2687.39,185.06,,,9112.36,55.58,-7031.0,199.0,11236.28,35.4,45Cr
20351.0,640.0,-822.0,500.0,,,7431.0,565.0,-7116.0,565.0,8016.0,445.0,45Mn
,,557.0,640.0,,,,,,,12678.0,565.0,45Fe
701.0,860.0,21809.0,989.0,58384.0,700.0,5167.0,919.0,4733.0,919.0,-18404.0,1063.0,46P
3742.0,1150.0,22549.0,707.0,43479.0,500.0,600.0,707.0,524.0,747.0,-17115.0,778.0,46S
3668.17,249.16,17158.78,1056.17,27901.82,208.66,6055.64,208.73,3200.12,208.72,-12892.82,592.65,46Cl
8073.45,1.23,18799.35,136.17,14354.87,1.13,1322.4,136.33,-749.36,61.87,-11931.07,5.09,46Ar
6869.6,0.89,12932.1,0.89,1661.43,0.75,7970.14,1.74,1459.94,5.36,-5608.01,61.86,46K
10398.5,2.26,13812.69,2.3,-13667.79,11.67,3352.94,2.27,-1699.92,2.27,-5483.15,5.76,46Ca
8760.64,0.1,8238.02,0.75,-29192.0,400.0,10418.26,0.74,1511.66,0.71,460.57,0.8,46Sc
13189.28,0.83,10344.87,0.66,-45038.0,500.0,4398.99,1.76,-3075.64,1.87,-72.58,0.28,46Ti
13260.65,0.86,5354.48,0.84,,,11184.02,0.73,-2890.21,7.25,4759.15,1.87,46V
18028.08,37.2,4874.52,11.49,,,5355.62,182.0,-6691.16,44.35,5495.92,13.55,46Cr
15391.0,565.0,344.0,401.0,,,11502.0,500.0,-5735.0,565.0,10993.0,402.0,46Mn
20923.0,640.0,1129.0,640.0,,,4591.0,707.0,,,8527.0,640.0,46Fe
1331.0,1063.0,,,65422.0,800.0,2931.0,1063.0,6061.0,998.0,,,47P
1041.0,707.0,22889.0,860.0,49714.0,500.0,2481.0,707.0,1784.0,707.0,-15497.0,778.0,47S
3992.0,451.0,17409.0,640.0,34557.0,400.0,4921.0,1110.0,4289.0,400.0,-14584.0,640.0,47Cl
3664.73,1.58,18795.91,208.66,19571.03,1.12,3607.01,136.17,-117.76,136.33,-10515.7,5.33,47Ar
8369.37,1.57,13228.02,1.79,6294.64,1.41,4769.63,1.49,1825.33,2.11,-9681.05,136.33,47K
7276.37,0.27,14219.46,2.34,-7781.84,6.43,4982.03,2.28,-1698.87,2.26,-4024.76,2.73,47Ca
10646.69,2.04,8486.2,1.21,-21770.22,31.73,7186.39,1.97,1996.14,1.96,-2908.7,1.98,47Sc
8880.88,0.13,10465.12,0.68,-38068.0,500.0,6845.34,0.67,-2257.32,1.76,2177.71,0.34,47Ti
13002.58,0.11,5167.79,0.07,-52377.0,600.0,7714.03,0.83,406.01,0.72,1455.77,1.76,47V
13162.33,12.94,4776.2,6.03,,,8034.24,6.09,-5582.14,181.74,8632.39,6.07,47Cr
18068.0,401.0,383.78,33.68,,,7659.23,47.5,-4342.0,302.0,7196.41,184.38,47Mn
15851.0,707.0,1589.0,640.0,,,9091.0,640.0,-9036.0,707.0,12137.0,583.0,47Fe
,,-2171.0,781.0,,,7319.0,721.0,,,8987.0,781.0,47Co
2680.0,778.0,24238.0,998.0,56986.0,596.0,503.0,919.0,2026.0,778.0,-19082.0,919.0,48S
2572.0,640.0,18939.0,707.0,40224.0,500.0,6091.0,707.0,4573.0,1150.0,-14234.0,707.0,48Cl
4986.32,307.4,19791.0,504.0,26211.37,307.39,2288.87,371.52,845.26,336.2,-12645.35,1080.02,48Ar
4643.82,1.6,14207.11,1.36,12193.22,1.24,8199.26,1.36,2350.37,0.93,-8375.53,136.17,48K
9951.53,2.22,15801.62,1.4,-1402.61,7.32,1900.1,0.73,-2744.94,0.53,-8807.43,0.52,48Ca
8238.56,5.31,9448.39,5.42,-15207.5,8.52,9346.33,5.43,1172.39,4.96,-2241.8,4.98,48Sc
11626.66,0.04,11445.08,1.93,-30493.0,400.0,3979.32,0.68,-2556.76,0.67,-2034.13,0.38,48Ti
10542.39,0.98,6829.3,0.97,-45977.0,500.0,10360.91,0.98,-603.8,1.28,2240.6,1.18,48V
16330.76,9.48,8104.37,7.33,-59615.0,502.0,4964.14,7.33,-6071.95,7.38,1834.22,7.37,48Cr
14801.28,32.42,2022.73,6.44,,,10886.03,13.39,-4917.48,36.07,8236.08,6.99,48Mn
19202.0,640.0,2723.0,401.0,,,5280.0,565.0,-7886.0,565.0,7161.0,401.0,48Fe
16942.0,781.0,-1081.0,707.0,,,11300.0,707.0,-7398.0,640.0,12396.0,640.0,48Co
,,866.0,782.0,,,,,,,8678.0,642.0,48Ni
-260.0,300.0,,,62393.0,667.0,2094.0,1042.0,2987.0,967.0,,,49S
2851.0,781.0,19111.0,846.0,47501.0,600.0,4281.0,781.0,5464.0,781.0,-16383.0,922.0,49Cl
2980.0,504.0,20199.0,640.0,31374.0,400.0,3301.0,565.0,1534.0,451.0,-11883.0,640.0,49Ar
5398.33,1.11,14619.12,307.39,18350.44,1.15,6465.65,1.38,5025.49,1.38,-10105.69,208.66,49K
5146.45,0.18,16304.26,0.8,4033.29,2.25,5123.02,1.41,-1021.79,0.75,-5880.44,1.14,49Ca
10128.74,5.64,9625.61,2.7,-8940.63,3.52,6493.96,3.49,1442.15,3.5,-5500.94,2.79,49Sc
8142.4,0.03,11348.92,4.95,-23813.06,24.22,6483.61,1.93,-1938.51,0.68,221.98,2.23,49Ti
11555.55,1.27,6758.19,0.82,-38082.0,500.0,7686.24,0.82,1029.92,0.83,-554.31,1.07,49V
10582.36,7.63,8144.34,2.45,-53533.0,600.0,7384.36,2.25,-3393.65,2.25,4441.14,2.25,49Cr
16395.61,7.29,2087.58,7.64,,,7652.75,6.43,-3285.01,11.67,5101.12,2.26,49Mn
14822.0,400.0,2743.36,25.19,,,8526.45,39.87,-7317.0,400.0,10367.24,26.79,49Fe
19451.0,707.0,-831.0,640.0,,,7700.0,707.0,-5926.0,707.0,8336.0,640.0,49Co
16665.0,782.0,589.0,781.0,,,8540.0,848.0,,,12936.0,781.0,49Ni
1271.0,848.0,20642.0,897.0,52287.0,600.0,5689.0,846.0,5234.0,781.0,-16324.0,1000.0,50Cl
4211.0,640.0,21559.0,781.0,38102.0,500.0,1661.0,707.0,1314.0,640.0,-15053.0,707.0,50Ar
4187.67,7.77,15827.0,400.0,23496.17,7.74,7264.29,307.49,4502.54,7.81,-10302.0,400.0,50K
6360.78,1.6,17266.7,1.77,10672.85,1.64,3406.06,1.76,986.81,2.11,-8576.48,1.94,50Ca
6057.43,15.24,10536.59,15.0,-1919.79,15.01,10388.05,15.0,2661.09,15.16,-3189.0,15.07,50Sc
10939.19,0.04,12159.37,2.7,-16955.2,8.38,3782.99,4.95,-2231.01,1.93,-3440.84,2.22,50Ti
9333.4,0.92,7949.2,0.42,-31594.0,400.0,9979.5,0.42,577.41,0.42,758.98,1.98,50V
13000.33,2.2,9589.11,0.94,-46142.0,500.0,4926.43,1.07,-3391.4,0.47,321.69,0.45,50Cr
13078.28,2.21,4583.51,2.2,,,10905.23,7.31,-3200.96,6.04,5025.42,0.47,50Mn
17797.05,25.63,4144.79,8.68,,,5530.69,10.88,-7046.03,32.76,5732.52,10.33,50Fe
15821.0,640.0,169.0,400.0,,,11081.0,565.0,-5897.0,640.0,10582.0,401.0,50Co
20391.0,781.0,1529.0,707.0,,,5091.0,707.0,-9626.0,781.0,8396.0,707.0,50Ni
1521.0,922.0,,,57519.0,700.0,3908.0,967.0,6393.0,919.0,,,51Cl
1432.0,781.0,21719.0,848.0,43043.0,600.0,3081.0,848.0,2454.0,781.0,-13805.0,846.0,51Ar
4859.67,15.17,16475.0,500.0,29687.65,13.04,5384.0,400.0,4629.2,307.67,-12590.0,500.0,51K
4814.4,1.67,17893.43,7.75,15119.09,0.66,3989.99,0.96,816.23,0.93,-8404.57,307.39,51Ca
6752.62,25.0,10928.43,20.06,5015.19,20.01,8781.89,20.0,5860.0,20.0,-5297.81,20.02,51Sc
6372.49,0.49,12474.43,15.01,-9530.28,8.98,7539.23,2.74,-364.94,4.97,138.19,0.5,51Ti
11051.15,0.08,8061.15,0.42,-24861.7,48.44,7070.75,0.42,1152.92,0.42,-2053.6,4.97,51V
9260.64,0.2,9516.35,0.23,-39552.0,500.0,7221.34,0.92,-2109.65,1.05,2687.72,0.41,51Cr
13687.6,0.3,5270.78,0.29,,,7799.99,2.22,-557.8,7.32,1880.22,1.1,51Mn
13797.42,12.27,4863.93,8.97,,,8128.89,9.24,-6042.16,11.34,8265.87,11.57,51Fe
17783.0,403.0,154.66,49.16,,,8119.39,54.15,-4478.0,403.0,7600.6,48.93,51Co
15851.0,707.0,1558.0,640.0,,,8691.0,707.0,-8535.0,707.0,11747.0,640.0,51Ni
2661.0,848.0,22859.0,922.0,48190.0,600.0,1691.0,848.0,2644.0,848.0,-16726.0,897.0,52Ar
2692.75,35.98,17737.0,601.0,34306.14,33.54,6903.0,501.0,4916.0,401.0,-12431.0,601.0,52K
6005.28,0.85,19039.04,13.06,21152.98,0.75,2172.39,7.76,209.28,1.04,-11430.0,400.0,52Ca
5285.91,84.26,11399.95,81.85,10264.0,81.87,9856.75,81.87,5720.54,81.85,-5185.39,81.86,52Sc
7808.3,7.09,13530.11,21.21,-1139.46,8.73,5788.37,16.58,1955.5,7.57,-2523.65,7.07,52Ti
7311.24,0.13,8999.9,0.66,-17082.82,8.39,10698.7,0.44,1984.07,0.43,763.9,2.73,52V
12039.16,0.51,10504.37,0.52,-33089.0,400.0,4515.58,0.52,-2593.26,0.89,-1209.05,0.36,52Cr
10534.72,1.9,6544.86,1.88,-48427.0,600.0,10265.59,1.89,-510.17,2.9,2901.05,2.02,52Mn
16199.13,10.32,7375.46,5.14,,,5008.04,5.13,-5845.67,5.59,2649.1,5.58,52Fe
15090.12,49.16,1447.37,12.27,,,10826.31,11.86,-4746.17,25.63,8906.09,8.68,52Co
18501.0,640.0,2277.0,403.0,,,6011.0,565.0,-7585.0,640.0,8067.0,400.0,52Ni
,,-2331.0,781.0,,,12551.0,781.0,-5616.0,848.0,13246.0,781.0,52Cu
1.0,921.0,,,53622.0,706.0,3211.0,989.0,3915.0,921.0,,,53Ar
3229.41,116.7,18305.0,610.0,39555.34,111.82,5105.0,610.0,5898.0,513.0,-14389.0,610.0,53K
3192.76,43.79,19539.05,55.15,25899.29,43.78,3839.3,45.68,1204.2,44.46,-10412.0,502.0,53Ca
6534.85,124.71,11929.51,94.09,15783.31,94.09,8136.3,94.09,5546.47,94.1,-7532.56,94.4,53Sc
5432.56,100.3,13676.75,129.27,4116.47,100.06,7108.43,102.03,2580.38,101.17,-1595.44,100.06,53Ti
8478.61,3.15,9670.21,7.73,-9191.63,3.54,8592.58,3.16,4444.65,3.12,-1657.28,15.32,53V
7939.07,0.14,11132.2,0.54,-25656.17,25.15,7627.65,0.52,-1198.93,0.53,1791.06,0.37,53Cr
12054.15,1.87,6559.84,0.33,-41420.0,500.0,7472.09,0.59,436.01,0.62,180.3,0.6,53Mn
10688.48,5.16,7529.22,2.39,,,8007.15,1.71,-3455.88,1.7,4960.94,1.7,53Fe
16369.79,8.56,1618.04,5.17,,,8253.93,9.12,-3318.92,8.56,5614.57,1.76,53Co
15372.0,400.0,2558.84,26.51,,,8422.13,54.58,-7136.0,400.0,10492.03,26.51,53Ni
19061.0,781.0,-1771.0,640.0,,,9341.0,707.0,-4286.0,707.0,10007.0,640.0,53Cu
778.0,607.0,19082.0,918.0,44891.0,596.0,6989.0,846.0,6552.0,846.0,-13646.0,919.0,54K
3844.2,65.29,20153.83,121.82,31774.18,48.44,2687.85,58.91,2219.67,50.16,-12824.0,602.0,54Ca
3055.41,288.57,11792.17,276.29,21666.73,272.8,11086.17,272.8,7305.46,272.8,-5728.3,273.11,54Sc
6862.24,129.65,14004.14,125.11,10632.52,82.46,5532.1,116.19,2470.76,84.85,-3643.28,82.46,54Ti
6113.43,15.32,10351.08,101.17,-1883.22,15.01,10287.45,16.59,4703.72,15.01,-1018.09,25.0,54V
9719.08,0.12,12372.67,3.1,-17656.46,4.67,5219.81,0.54,133.13,0.52,-1555.53,0.61,54Cr
8938.83,1.06,7559.6,1.0,-34147.0,400.0,10572.42,1.01,757.82,1.13,2292.61,1.13,54Mn
13378.29,1.61,8853.36,0.49,-49983.0,400.0,5163.59,1.81,-3146.57,0.58,843.3,0.52,54Fe
13421.84,1.67,4351.39,1.62,,,11031.22,5.1,-2943.34,8.97,5880.32,0.59,54Co
17718.8,25.58,3907.85,4.96,,,5793.45,9.59,-7072.11,48.66,6570.65,10.1,54Ni
16212.0,640.0,-931.0,400.0,,,11630.0,565.0,-4646.0,640.0,11578.0,403.0,54Cu
,,291.0,641.0,,,6719.0,721.0,,,11274.0,641.0,54Zn
2361.0,918.0,,,49853.0,705.0,4628.0,988.0,6852.0,921.0,,,55K
1261.0,304.0,20637.0,667.0,36759.0,300.0,4656.0,320.0,3651.0,302.0,-11424.0,671.0,55Ca
4339.77,529.95,12287.74,456.92,27553.06,454.34,9939.16,456.45,8970.97,454.34,-7375.32,455.58,55Sc
4117.42,181.42,15066.16,317.07,15813.21,161.6,7949.53,187.0,3639.25,181.15,-1755.42,161.6,55Ti
7322.73,96.28,10811.58,125.88,4885.3,95.1,8397.28,138.04,5189.29,95.37,-3054.91,125.48,55V
6246.26,0.19,12505.51,15.0,-9773.86,0.76,7452.16,3.11,1198.11,0.57,6.51,7.08,55Cr
10226.1,1.05,8066.62,0.32,-26077.01,155.56,8285.39,0.32,2570.88,0.33,-622.24,0.5,55Mn
9298.12,0.19,9212.64,1.06,-42911.0,400.0,7919.62,0.46,-1909.96,1.82,3584.34,0.37,55Fe
14091.25,0.31,5064.35,0.3,,,7628.45,1.64,-835.46,5.11,2323.8,1.83,55Co
14128.86,4.71,4614.87,0.66,,,8034.39,1.79,-6110.84,8.41,8640.92,5.14,55Ni
18296.0,429.0,-353.94,155.63,,,8706.23,157.58,-4442.0,429.0,8371.95,155.79,55Cu
16370.0,565.0,449.0,565.0,,,9410.0,640.0,-7426.0,721.0,13406.0,565.0,55Zn
852.0,1063.0,,,54082.0,820.0,,,6000.0,1063.0,,,56K
3619.0,500.0,21895.0,805.0,41387.0,400.0,1815.0,718.0,3262.0,415.0,-15042.0,805.0,56Ca
2764.22,742.17,13791.0,659.0,32059.28,586.84,11019.13,588.84,9399.5,588.47,-6910.14,597.39,56Sc
5723.28,202.03,16449.67,470.24,21287.03,121.25,5281.66,298.53,4450.82,153.47,-4285.94,128.91,56Ti
5081.61,200.84,11775.76,239.6,9885.52,176.9,10177.91,195.17,5540.24,203.23,-1601.67,200.36,56V
8246.61,0.65,13429.39,95.11,-1377.46,0.61,5318.98,15.01,1430.12,3.16,-2807.54,100.05,56Cr
7270.44,0.13,9090.8,0.39,-18268.51,14.91,10734.03,0.34,3239.52,0.35,585.92,3.12,56Mn
11197.1,0.23,10183.64,0.16,-35217.0,400.0,5661.35,1.06,-1052.91,0.43,326.32,0.34,56Fe
10081.84,0.46,5848.07,0.45,-52651.0,500.0,10924.9,0.46,-228.82,1.68,4296.11,0.59,56Co
16643.01,0.67,7166.63,0.34,,,4813.22,0.37,-6384.06,1.71,2686.39,1.65,56Ni
15078.95,156.27,596.15,14.92,,,11346.09,15.61,-4148.15,29.23,9662.8,15.0,56Cu
18891.0,565.0,1043.0,429.0,,,6731.0,565.0,-7256.0,640.0,9887.0,400.0,56Zn
,,-3892.0,640.0,,,13593.0,641.0,,,15527.0,707.0,56Ga
1048.0,565.0,22090.0,895.0,45650.0,400.0,3128.0,805.0,2992.0,718.0,,,57Ca
4214.93,1430.05,14387.0,1364.0,36490.38,1304.09,8065.0,1338.0,9028.76,1304.99,-10347.0,1434.0,57Sc
2666.9,283.64,16352.34,640.42,26266.21,256.42,6954.53,521.71,4839.32,374.39,-3108.65,260.95,57Ti
6329.89,194.34,12382.37,145.53,14932.11,80.48,7965.44,180.53,6072.59,115.22,-4876.15,284.42,57V
5311.02,1.23,13658.79,176.9,3559.13,1.22,7330.69,95.11,2232.53,15.04,-1256.32,82.47,57Cr
8646.03,1.53,9490.22,1.61,-10177.36,1.58,8334.27,1.55,4312.57,1.54,-1946.68,15.08,57Mn
7646.07,0.04,10559.27,0.21,-27632.0,200.0,8241.38,0.16,239.84,1.06,2399.33,0.34,57Fe
11376.48,0.57,6027.45,0.45,-44335.0,400.0,8846.54,0.5,1772.99,0.52,1858.47,1.14,57Co
10247.61,0.52,7332.4,0.59,,,8656.86,0.57,-3209.82,0.57,5817.07,0.56,57Ni
16737.17,14.91,690.32,0.41,,,8737.77,0.76,-3166.52,4.69,6347.47,0.49,57Cu
15232.0,447.0,1196.0,201.0,,,9796.0,254.0,-6276.0,447.0,12375.0,200.0,57Zn
