 Z=  59 A= 116  Pr beta2= 0.45 nrho= 200
   r[fm]    rhon0[fm-3]    rhop0[fm-3]
   0.700   7.680327E-02   6.890251E-02
   0.800   7.747308E-02   6.958946E-02
   0.900   7.816165E-02   7.029684E-02
   1.000   7.885589E-02   7.101276E-02
   1.100   7.952998E-02   7.171223E-02
   1.200   8.017985E-02   7.239119E-02
   1.300   8.077776E-02   7.302314E-02
   1.400   8.131209E-02   7.359749E-02
   1.500   8.174024E-02   7.407557E-02
   1.600   8.212528E-02   7.451540E-02
   1.700   8.240388E-02   7.485900E-02
   1.800   8.253757E-02   7.507483E-02
   1.900   8.265442E-02   7.527621E-02
   2.000   8.262051E-02   7.534763E-02
   2.100   8.250225E-02   7.534867E-02
   2.200   8.233495E-02   7.530855E-02
   2.300   8.208818E-02   7.520489E-02
   2.400   8.178759E-02   7.506021E-02
   2.500   8.143986E-02   7.488162E-02
   2.600   8.107582E-02   7.469368E-02
   2.700   8.069211E-02   7.449535E-02
   2.800   8.030579E-02   7.430605E-02
   2.900   7.992525E-02   7.412294E-02
   3.000   7.956448E-02   7.396637E-02
   3.100   7.923403E-02   7.384223E-02
   3.200   7.891241E-02   7.372666E-02
   3.300   7.861772E-02   7.364039E-02
   3.400   7.832575E-02   7.355742E-02
   3.500   7.803370E-02   7.347449E-02
   3.600   7.771535E-02   7.336786E-02
   3.700   7.733819E-02   7.320606E-02
