 Z=  69 A= 136  Tm beta2= 0.40 nrho= 200
   r[fm]    rhon0[fm-3]    rhop0[fm-3]
  18.600   6.315574E-11   1.272106E-08
  18.700   6.985018E-11   1.230215E-08
  18.800   7.725423E-11   1.189704E-08
  18.900   8.544309E-11   1.150526E-08
  19.000   9.449997E-11   1.112639E-08
  19.100   1.045169E-10   1.076000E-08
  19.200   1.099652E-10   9.801828E-09
  19.300   1.124517E-10   8.629924E-09
  19.400   1.149945E-10   7.598132E-09
  19.500   1.175947E-10   6.689701E-09
  19.600   1.202538E-10   5.889882E-09
  19.700   1.229729E-10   5.185689E-09
  19.800   1.257536E-10   4.565690E-09
  19.900   1.285971E-10   4.019817E-09
 Z=  69 A= 139  Tm beta2= 0.38 nrho= 200
   r[fm]    rhon0[fm-3]    rhop0[fm-3]
   0.000   8.045806E-02   6.949312E-02
   0.100   8.042731E-02   6.953163E-02
   0.200   8.039658E-02   6.957016E-02
   0.300   8.036174E-02   6.961738E-02
   0.400   8.031044E-02   6.969932E-02
   0.500   8.025916E-02   6.981599E-02
   0.600   8.020793E-02   6.994781E-02
   0.700   8.017224E-02   7.011641E-02
   0.800   8.015205E-02   7.031409E-02
   0.900   8.017254E-02   7.056351E-02
   1.000   8.019905E-02   7.081920E-02
   1.100   8.028037E-02   7.112500E-02
   1.200   8.039850E-02   7.145502E-02
   1.300   8.054145E-02   7.180197E-02
   1.400   8.070946E-02   7.215945E-02
   1.500   8.089901E-02   7.252529E-02
   1.600   8.110365E-02   7.287911E-02
   1.700   8.130879E-02   7.323464E-02
   1.800   8.149525E-02   7.354947E-02
   1.900   8.165357E-02   7.383187E-02
   2.000   8.178338E-02   7.408124E-02
   2.100   8.187593E-02   7.429370E-02
   2.200   8.192257E-02   7.446033E-02
   2.300   8.187273E-02   7.454295E-02
   2.400   8.181762E-02   7.462103E-02
   2.500   8.166824E-02   7.462122E-02
   2.600   8.147020E-02   7.458374E-02
   2.700   8.121497E-02   7.450276E-02
   2.800   8.093467E-02   7.440335E-02
   2.900   8.060701E-02   7.426946E-02
   3.000   8.024446E-02   7.411324E-02
   3.100   7.987702E-02   7.395327E-02
   3.200   7.950159E-02   7.379224E-02
   3.300   7.912994E-02   7.363662E-02
   3.400   7.877055E-02   7.349412E-02
   3.500   7.841812E-02   7.335716E-02
   3.600   7.808345E-02   7.323650E-02
   3.700   7.775236E-02   7.311626E-02
