S(2n),dS(2n),S(2p),dS(2p),Q(a),dQ(a),Q(2B-),dQ(2B-),Q(ep),dQ(ep),Q(B-n),dQ(B-n),Element_w_A
23380.0,357.0,6479.0,196.0,-213.0,224.0,,,2235.0,196.0,-19402.0,359.0,101In
28504.0,586.0,4952.44,300.01,-2277.0,423.0,,,6600.0,300.0,,,101Sn
7602.0,299.0,,,-11881.0,499.0,23466.0,298.0,,,9547.0,298.0,102Rb
8481.04,67.45,31685.0,406.0,-10273.0,306.0,19428.4,67.64,-30320.0,507.0,4830.38,67.44,102Sr
9988.42,11.91,29504.05,19.98,-9228.95,16.59,15131.37,4.81,-25617.0,200.0,3921.46,9.28,102Y
11352.9,11.96,26344.75,11.31,-7589.52,9.34,11978.35,12.07,-23551.77,12.2,-767.53,9.54,102Zr
12649.78,8.36,23555.09,11.46,-6434.68,8.31,8268.33,9.51,-18532.51,7.51,-855.91,2.56,102Nb
13515.67,8.32,21766.57,11.63,-4704.27,11.84,5540.38,8.32,-17689.08,11.76,-5292.78,25.4,102Mo
14694.57,9.26,19353.42,12.16,-3473.2,10.44,2210.44,11.18,-12970.36,9.89,-4686.08,9.16,102Tc
16021.68,0.24,17491.35,0.29,-3415.38,0.45,-1203.27,0.36,-12875.46,0.3,-9765.34,5.85,102Ru
17334.83,19.22,15340.31,6.55,-2776.03,7.24,-4536.63,10.38,-7727.69,24.84,-9422.5,7.88,102Rh
18833.03,17.64,13253.72,0.44,-2103.23,6.49,-8243.48,1.75,-7234.03,0.37,-14640.11,4.87,102Pd
20251.37,9.58,11233.51,19.88,-1496.4,14.44,-11551.81,9.36,-2123.25,10.04,-14481.55,8.31,102Ag
21607.73,2.36,9024.85,17.72,-763.63,5.03,-14724.81,100.12,-1516.53,4.88,-19117.0,196.0,102Cd
22524.55,182.58,7134.87,6.78,-53.38,33.22,,,3350.52,6.66,-18460.58,300.04,102In
23794.55,317.7,5318.23,100.12,276.62,112.71,,,3612.6,100.12,,,102Sn
6906.0,448.0,,,,,24849.0,401.0,,,10480.0,406.0,103Rb
8240.0,196.0,32872.0,540.0,-11088.0,446.0,20393.0,196.0,,,5680.0,196.0,103Sr
9539.21,13.26,30191.0,200.0,-9761.35,11.91,16571.1,11.88,-28040.0,298.0,5058.82,14.23,103Y
10792.01,12.43,27068.37,12.54,-7718.85,10.37,13145.34,13.04,-22945.0,67.7,417.89,9.56,103Zr
12279.81,5.4,24545.61,8.11,-6803.76,7.71,9575.2,10.56,-21144.46,5.67,466.07,9.2,103Nb
13583.36,9.24,22372.65,12.43,-5764.97,13.97,6306.5,9.24,-16661.93,12.72,-4459.11,13.01,103Mo
14401.91,25.93,20290.32,10.49,-4693.44,15.5,3427.84,10.07,-15588.29,10.13,-3568.75,9.81,103Tc
15451.69,0.16,18325.16,0.33,-3721.99,0.5,190.02,0.87,-10990.08,8.32,-8555.17,6.4,103Ru
16761.93,6.18,16265.06,24.11,-3128.76,2.46,-3229.02,4.7,-10747.8,9.44,-8199.85,2.29,103Rh
18167.69,4.68,14077.02,0.85,-2256.72,0.89,-6805.57,2.04,-5639.72,0.85,-13281.82,8.23,103Pd
19610.95,6.34,11968.22,7.14,-1646.31,7.85,-10170.1,10.46,-5308.34,7.61,-13214.32,4.42,103Ag
20957.79,2.35,9797.43,4.93,-893.88,5.3,-13679.03,70.68,-37.42,1.89,-18028.05,4.92,103Cd
22161.0,196.0,7876.16,10.77,-345.03,11.48,-18454.0,298.0,325.13,12.63,-17769.02,100.57,103In
22809.6,308.21,5714.08,70.67,533.62,70.68,,,5398.13,70.68,,,103Sn
,,2142.0,357.0,2773.0,422.0,,,7228.0,298.0,,,103Sb
8090.0,306.0,,,-11479.0,499.0,21618.0,298.0,,,6280.0,298.0,104Sr
9033.0,401.0,30935.0,499.0,-10242.0,401.0,17755.0,401.0,-27745.0,566.0,5680.0,401.0,104Y
10278.99,12.78,28142.7,67.71,-8328.07,11.75,14625.91,12.89,-25591.0,196.0,1233.29,10.12,104Zr
11657.1,3.69,25223.78,4.91,-6916.53,11.5,10684.43,25.03,-20650.41,11.53,1070.34,9.61,104Nb
12926.54,12.18,23340.2,12.49,-6397.45,12.07,7745.74,9.24,-19823.61,12.82,-3817.42,13.25,104Mo
14073.2,26.47,20776.84,25.01,-5130.96,26.13,4455.9,24.99,-14763.74,25.2,-3307.59,24.89,104Tc
15131.91,2.49,19107.59,8.68,-4327.6,2.49,1299.4,2.68,-14424.01,9.56,-8135.32,3.36,104Ru
16318.66,6.79,16964.41,9.44,-3363.32,2.66,-1842.9,4.8,-9644.45,10.07,-7573.48,2.42,104Rh
17634.57,1.44,14866.61,1.4,-2592.63,1.38,-5426.73,2.14,-9416.91,1.4,-12663.73,4.31,104Pd
19012.4,9.2,12911.08,7.67,-1950.24,18.61,-8933.79,7.15,-4373.71,4.8,-12536.15,4.59,104Ag
20451.32,2.36,10643.15,1.76,-1180.52,17.72,-12341.33,5.98,-3800.16,1.92,-17407.11,9.77,104Cd
21630.41,7.37,8513.91,10.01,-469.62,7.64,-17009.04,122.58,1331.06,7.08,-17281.39,70.89,104In
22834.8,100.27,6545.3,5.98,142.63,5.98,,,1735.6,6.02,-23520.0,298.0,104Sn
,,3056.68,122.53,2714.44,219.79,,,8170.0,122.07,,,104Sb
7331.0,540.0,,,-11908.0,711.0,22854.0,503.0,,,7382.0,643.0,105Sr
8955.42,1336.74,32240.0,1395.0,-10850.0,1352.0,18645.19,1336.7,,,6382.38,1336.73,105Y
9792.03,15.22,28620.0,196.0,-8564.74,14.79,15872.41,15.12,-24647.0,298.0,2282.96,12.41,105Zr
11029.51,5.6,26035.92,11.91,-7279.47,8.16,12374.54,35.49,-23141.0,401.0,2363.1,9.79,105Nb
12519.1,12.92,24099.75,12.92,-6596.1,12.3,8597.35,9.39,-18902.05,12.99,-2905.01,26.48,105Mo
13828.86,36.53,21839.36,35.48,-5823.51,35.46,5561.15,35.33,-17760.05,35.37,-2265.7,35.28,105Tc
14809.95,2.49,19551.76,9.56,-4839.46,2.5,2483.4,2.59,-12873.49,9.25,-7046.46,3.36,105Ru
15962.17,3.39,17825.32,9.91,-3931.56,24.13,-780.41,5.18,-12636.77,24.99,-6527.45,2.45,105Rh
17103.33,1.48,15728.66,1.22,-2884.69,1.21,-4084.05,1.79,-7611.15,2.59,-11372.75,4.06,105Pd
18410.78,6.12,13617.07,5.09,-2083.34,7.4,-7430.26,11.21,-7400.46,5.09,-11173.77,4.84,105Ag
19824.86,2.28,11454.59,1.69,-1326.62,4.79,-10995.85,4.21,-2227.7,1.93,-16222.49,5.94,105Cd
21150.62,14.06,9415.82,11.04,-731.11,11.33,-15625.09,24.11,-1813.09,11.08,-16084.84,11.75,105In
22508.04,70.77,7264.32,4.36,73.55,4.24,-20526.48,300.05,3341.42,4.31,-22235.69,122.51,105Sn
23980.0,299.0,3960.83,23.85,2173.0,197.0,,,4878.21,22.58,,,105Sb
,,416.86,308.23,5069.2,3.0,,,11526.57,300.07,,,105Te
6827.0,670.0,,,,,23760.0,740.0,,,8409.0,1465.0,106Sr
8132.0,643.0,,,-10771.0,585.0,20150.0,503.0,,,7340.0,503.0,106Y
8968.56,433.25,29022.0,526.0,-8815.6,438.31,17584.54,433.24,-27229.0,664.0,3294.25,433.16,106Zr
10526.98,4.95,26717.0,401.0,-7455.1,5.8,13572.87,12.92,-22221.97,1336.7,3062.47,9.96,106Nb
11927.19,12.76,24988.41,13.04,-6971.74,12.65,10188.69,10.61,-21958.76,15.16,-1915.76,36.43,106Mo
13415.41,27.71,22535.15,12.55,-5896.59,12.51,6586.4,11.0,-17149.64,12.89,-1913.05,12.29,106Tc
14370.15,5.48,20551.2,10.42,-5182.08,9.91,3584.3,5.34,-16275.05,10.54,-6543.3,5.7,106Ru
15545.91,5.85,18437.12,25.43,-4214.66,10.43,579.76,6.03,-11361.51,35.64,-6016.06,5.34,106Rh
16655.06,0.75,16389.76,2.59,-3226.01,1.18,-2775.39,0.1,-11262.01,2.59,-10908.01,4.66,106Pd
17968.57,4.95,14560.98,3.79,-2583.98,7.08,-6334.25,12.5,-6380.11,3.67,-10679.86,3.32,106Ag
19306.39,2.0,12314.97,0.76,-1653.88,1.23,-9778.45,5.21,-6003.22,0.3,-15562.88,10.31,106Cd
20568.1,13.52,10069.62,12.84,-786.36,14.71,-14134.84,14.32,-826.27,13.04,-15341.46,12.86,106In
21869.27,7.68,7963.25,5.36,-118.91,5.36,-19133.94,100.67,-308.82,5.28,-21409.52,22.41,106Sn
23442.31,122.67,4868.57,9.43,1796.68,8.74,,,5878.31,12.67,-21733.1,300.11,106Sb
,,1170.64,100.7,4290.22,9.35,,,7829.27,100.62,,,106Te
6432.0,862.0,,,,,25480.0,1323.0,,,9082.0,862.0,107Sr
7237.0,1428.0,,,-11181.0,643.0,21359.0,503.0,,,8114.0,664.0,107Y
9057.59,1122.52,30347.0,1230.0,-9382.0,1139.0,18171.87,1122.49,-26878.0,1273.0,3752.35,1122.46,107Zr
9950.89,8.96,27031.39,1336.72,-7691.15,13.78,15026.1,11.81,-24960.0,503.0,4339.4,12.16,107Nb
11357.05,12.92,25664.77,15.22,-7161.14,13.04,11310.95,12.67,-21290.54,433.24,-846.65,15.34,107Mo
12602.46,36.24,23412.3,9.55,-6146.16,9.51,8113.79,14.85,-19835.53,9.59,-498.01,9.94,107Tc
14070.66,8.29,21103.31,12.54,-5326.76,12.67,4510.13,8.71,-15016.95,12.6,-5571.2,9.94,107Ru
15155.09,12.31,19151.56,37.27,-4684.75,15.54,1542.97,12.28,-14376.45,17.18,-5027.49,12.1,107Rh
16097.38,0.57,17016.09,2.63,-3530.38,1.27,-1382.38,1.98,-9338.39,5.36,-9501.57,2.86,107Pd
17478.47,5.03,15133.37,3.28,-2799.88,3.31,-4842.41,11.3,-9333.01,5.8,-9345.85,2.33,107Ag
18799.06,2.17,13150.31,1.96,-1957.99,1.92,-8478.03,5.56,-4371.7,1.94,-14453.44,12.33,107Cd
20066.32,15.12,11071.37,12.01,-1186.48,11.86,-12911.02,11.87,-3910.85,11.51,-14281.89,12.23,107In
21316.87,6.63,8756.33,5.49,-285.53,5.61,-17972.9,71.03,1330.94,5.42,-20110.25,9.15,107Sn
22780.39,22.22,5590.61,11.05,1554.44,10.48,-21224.0,300.0,2665.92,12.91,-20504.81,100.63,107Sb
23870.45,308.27,1779.28,70.94,4008.35,4.93,,,9525.39,71.01,,,107Te
,,-8.0,301.0,4324.0,423.0,,,9755.0,300.0,,,107I
7387.0,780.0,,,,,22249.0,596.0,,,9011.0,1271.0,108Y
8946.0,590.0,31141.0,721.0,-9672.0,499.0,19403.0,401.0,-29743.0,806.0,4299.0,401.0,108Zr
9485.04,9.21,28071.0,503.0,-7907.0,401.0,16377.01,12.03,-24470.0,503.0,4934.48,12.37,108Nb
10764.05,12.98,26783.9,433.24,-7456.8,13.11,12905.41,12.67,-23665.22,1122.49,-77.35,12.67,108Mo
12289.19,14.88,24297.36,9.68,-6528.68,9.19,9108.94,16.52,-19487.94,11.88,-131.58,11.79,108Tc
13480.76,9.95,22104.76,12.6,-5736.3,12.43,5862.86,8.75,-18398.76,12.67,-4868.96,14.85,108Ru
14811.73,15.0,19833.44,18.6,-4953.19,28.55,2575.04,14.2,-13570.78,16.46,-4730.4,14.05,108Rh
15759.31,1.57,17778.93,5.5,-3853.41,2.73,-271.79,0.77,-12950.66,8.74,-9188.85,2.63,108Pd
16807.01,3.56,15822.08,5.8,-3072.33,3.32,-3486.94,8.97,-8032.03,12.29,-8687.82,2.57,108Ag
18262.91,1.57,13922.83,1.58,-2282.22,1.75,-7182.48,5.49,-8168.75,1.64,-13759.47,11.18,108Cd
19654.32,14.97,11755.38,9.15,-1428.28,9.62,-11674.49,10.24,-3002.12,8.96,-13678.91,10.14,108In
20858.88,7.41,9515.74,5.49,-526.47,5.64,-16288.27,7.63,-2368.65,5.63,-19488.02,6.8,108Sn
22114.67,9.26,6415.14,13.4,1312.42,7.97,-19795.73,132.37,3829.96,12.41,-19977.32,71.04,108Sb
23704.55,100.69,3005.92,7.43,3420.46,7.6,,,5441.59,7.58,-24423.0,300.0,108Te
,,754.25,132.47,4099.1,50.0,,,10714.66,132.32,,,108I
6979.0,862.0,,,,,23489.0,746.0,,,10082.0,806.0,109Y
7956.0,1230.0,31871.0,862.0,-10007.0,711.0,20473.0,503.0,,,5282.0,503.0,109Zr
9108.62,258.61,28903.0,566.0,-7844.35,1361.46,17592.98,258.67,-26682.0,650.0,5994.83,258.65,109Nb
10257.07,14.49,26864.25,1122.51,-7626.18,16.48,14072.41,14.33,-22602.0,401.0,1185.46,14.21,109Mo
11675.5,12.47,25136.91,12.56,-6792.14,10.46,10716.68,10.48,-22025.98,12.7,1307.26,12.47,109Tc
13018.52,11.92,22764.78,12.86,-5826.18,12.73,6868.07,9.02,-17271.43,12.86,-3778.0,16.61,109Ru
14278.39,12.71,20827.48,9.57,-5134.28,35.49,3719.97,4.23,-16365.65,9.65,-3546.57,4.19,109Rh
15376.47,1.64,18321.9,8.74,-4096.9,2.74,897.84,1.82,-11234.1,8.75,-8071.03,2.64,109Pd
16455.39,2.71,16433.66,12.08,-3293.1,2.81,-2229.91,4.09,-10976.68,14.05,-7538.33,1.48,109Ag
17656.69,2.27,14709.62,1.95,-2511.35,1.91,-5874.14,8.1,-6269.08,1.82,-12455.82,8.76,109Cd
19067.88,11.81,12660.78,4.63,-1843.59,6.03,-10238.53,6.59,-6171.72,4.63,-12490.89,6.68,109In
20260.59,9.56,10217.86,8.12,-721.26,8.07,-14914.79,9.08,-666.74,8.03,-18256.17,9.66,109Sn
21740.37,6.7,7264.66,12.31,964.68,11.52,-18578.48,8.54,579.87,10.12,-18540.63,7.55,109Sb
23318.7,70.97,3781.1,6.88,3197.69,5.7,-21545.84,300.14,7065.58,6.94,-23137.1,132.33,109Te
24385.0,300.0,1597.2,7.9,3918.07,20.76,,,7483.86,8.69,,,109I
,,208.16,308.35,4217.05,7.27,,,12323.15,300.16,,,109Xe
7675.0,718.0,,,-10521.0,846.0,21657.0,597.0,,,5732.0,650.0,110Zr
8906.78,838.39,29591.0,1029.0,-8682.0,978.0,18724.6,838.4,-26399.0,1092.0,6284.77,838.42,110Nb
9929.28,25.92,27767.0,401.0,-8417.51,433.82,15529.99,25.81,-25639.0,504.0,1668.87,26.08,110Mo
11254.37,12.39,26066.69,12.57,-7256.07,10.34,11794.18,20.14,-21633.69,258.66,1632.57,12.52,110Tc
12553.86,11.91,23894.58,12.84,-6362.96,12.77,8258.33,8.94,-20695.55,14.31,-3144.44,9.79,110Ru
13939.6,22.65,21483.85,19.81,-5477.38,21.6,4628.62,17.85,-15834.88,20.22,-3293.53,17.84,110Rh
14949.33,1.25,19247.5,8.7,-4432.6,5.43,2017.06,0.54,-14881.47,8.97,-7682.8,1.38,110Pd
15993.17,2.71,17003.52,14.05,-3519.59,5.54,-987.33,11.62,-9746.82,4.23,-7024.3,1.78,110Ag
17238.19,1.17,15401.7,1.15,-2865.36,1.17,-4505.99,13.78,-10030.46,1.16,-11929.77,3.99,110Cd
18492.78,14.43,13441.15,11.8,-1952.5,11.94,-9020.23,13.0,-5039.51,11.62,-11911.1,14.02,110In
19914.68,14.79,11167.51,13.82,-1134.76,13.82,-13612.17,15.27,-4626.63,13.86,-17662.32,14.75,110Sn
21147.04,8.11,7907.86,10.5,733.48,13.6,-16985.56,50.9,1750.81,7.16,-17805.66,7.4,110Sb
22590.78,8.52,4737.81,8.5,2698.96,7.75,-20307.19,101.2,3111.4,10.32,-22628.63,9.41,110Te
23957.21,141.59,2596.79,50.85,3584.2,50.0,,,8497.83,50.83,-22365.95,304.34,110I
,,718.9,101.13,3872.21,9.5,,,8503.79,101.08,,,110Xe
7510.0,862.0,,,-11085.0,989.0,22380.0,700.0,,,6679.0,1092.0,111Zr
8328.0,395.0,30253.0,760.0,-8936.0,585.0,20149.0,298.0,,,7596.0,299.0,111Nb
9416.4,16.83,28325.0,503.0,-7984.99,1122.52,16845.51,15.43,-24343.0,596.0,3023.43,15.32,111Mo
10884.48,13.85,26912.77,258.71,-7725.73,13.27,13279.83,12.61,-24003.68,838.41,2976.64,13.35,111Tc
12189.5,12.66,24697.22,14.8,-6658.63,13.38,9200.62,9.71,-19531.66,26.09,-2027.9,20.22,111Ru
13447.63,7.92,22599.62,11.85,-5979.45,11.05,5911.0,7.0,-18558.91,11.71,-2044.86,6.88,111Rh
14522.05,1.32,19825.43,8.98,-4548.29,8.7,3266.36,0.69,-13202.28,8.95,-6599.9,1.43,111Pd
15638.66,1.91,17793.93,4.28,-3776.66,12.14,176.6,3.7,-12675.73,17.86,-5938.8,1.42,111Ag
16890.56,1.57,16223.71,1.15,-3304.52,1.25,-3313.66,5.34,-8210.31,0.56,-10853.6,11.55,111Cd
18045.17,2.7,14250.56,3.64,-2410.29,4.17,-7555.31,9.49,-8223.71,3.64,-10621.38,14.2,111In
19451.04,9.57,12012.21,5.55,-1373.24,5.59,-12351.11,8.35,-2879.59,5.34,-16560.17,8.0,111Sn
20728.39,10.3,8925.17,9.7,302.61,14.22,-15882.95,10.05,-1655.74,14.55,-16678.24,11.02,111Sb
22014.72,7.78,5535.23,10.22,2499.84,8.34,-19191.94,86.94,4965.54,15.2,-21194.62,50.96,111Te
23423.92,8.24,3280.75,7.09,3274.54,5.19,-22133.0,196.0,5206.98,7.62,-21102.48,101.1,111I
24368.62,312.38,1258.08,86.81,3718.88,50.0,,,10545.31,86.95,,,111Xe
,,-274.0,196.0,4184.0,358.0,,,10354.0,202.0,,,111Cs
7067.0,919.0,,,,,23653.0,726.0,,,6994.0,760.0,112Zr
8107.0,890.0,,,-9402.0,667.0,20985.0,298.0,,,7595.0,298.0,112Nb
9064.0,197.0,29156.0,627.0,-8536.0,446.0,18167.0,196.0,-27193.0,726.0,3489.0,196.0,112Mo
10367.06,10.97,27526.97,838.36,-8138.09,9.91,14472.57,44.43,-23672.0,298.0,3455.02,11.13,112Tc
11700.88,12.58,25666.17,26.06,-7299.79,13.32,10690.74,11.62,-22980.03,15.37,-1397.68,11.79,112Ru
13045.45,47.54,23274.93,45.1,-6233.64,44.95,6852.21,44.15,-17995.85,45.34,-1816.93,44.09,112Rh
14133.29,6.56,20826.93,11.07,-5085.13,10.87,4253.3,6.55,-16825.26,11.69,-6177.43,6.7,112Pd
15269.05,2.74,18332.97,17.97,-3976.91,14.2,1406.41,4.89,-11568.24,7.27,-5402.79,2.45,112Ag
16369.52,0.32,16821.9,0.6,-3475.57,1.13,-1919.8,0.16,-11877.94,0.72,-10254.13,3.43,112Cd
17662.8,12.31,15110.77,4.43,-2808.28,4.88,-6391.17,18.33,-7063.65,4.48,-10122.86,6.81,112In
18955.71,13.78,12885.03,0.35,-1827.56,1.15,-11087.55,8.39,-6691.78,0.32,-15889.64,8.85,112Sn
20291.86,18.8,9706.94,21.25,95.94,19.81,-14535.63,20.56,-495.89,18.16,-16082.8,18.95,112Sb
21480.33,10.65,6303.47,16.13,2077.51,9.96,-17541.17,11.78,1082.11,9.94,-20685.04,9.64,112Te
22741.79,51.58,4191.54,11.85,2957.09,11.63,-20773.05,87.4,6484.44,13.54,-20739.11,87.3,112I
24246.35,101.33,2374.47,10.58,3330.41,6.27,,,6272.17,10.48,-25277.0,196.0,112Xe
,,404.04,100.44,3934.41,122.64,,,11374.54,86.93,,,112Cs
7778.0,499.0,,,-9735.0,806.0,22301.0,401.0,,,8882.0,446.0,113Nb
8693.0,300.0,29508.0,761.0,-8722.0,586.0,19378.0,302.0,-25968.0,761.0,4698.0,300.0,113Mo
9929.55,11.1,28514.0,298.0,-8546.66,258.51,15956.0,7.88,-25827.0,298.0,4747.96,10.17,113Tc
11225.48,37.97,26506.3,38.81,-7627.04,38.54,11722.97,37.52,-21693.0,199.0,-207.93,57.47,113Ru
12605.72,9.82,24320.86,12.76,-6909.68,12.01,8259.29,18.11,-20797.57,9.01,-517.29,9.61,113Rh
13747.84,6.98,21383.76,11.92,-5277.61,11.33,5452.19,6.95,-15249.24,11.85,-5078.69,7.35,113Pd
14954.01,16.7,19300.31,18.0,-4452.28,17.12,2340.29,16.64,-14584.29,47.12,-4523.28,16.64,113Ag
15933.67,0.35,17635.34,0.74,-3861.72,1.14,-715.15,1.58,-10010.69,6.55,-9124.47,4.25,113Cd
17117.71,3.42,15729.61,1.46,-3072.61,1.29,-4950.15,17.19,-10072.37,2.43,-8783.38,0.28,113In
18532.18,5.55,13653.83,1.59,-2248.73,2.2,-9981.1,27.99,-5042.24,1.56,-14800.48,17.9,113Sn
19722.87,19.34,10602.87,17.53,-352.37,17.65,-13297.46,18.97,-3715.81,17.71,-14920.78,19.13,113Sb
20902.19,28.67,6986.38,28.45,1858.24,29.05,-16143.41,28.77,3019.06,27.95,-19355.02,29.76,113Te
22308.36,9.32,4860.71,11.94,2706.55,9.59,-19354.98,11.74,3190.49,19.55,-19164.49,11.52,113I
23950.72,86.97,3194.08,9.39,3086.86,7.66,-22420.0,298.0,8074.92,10.82,-23984.66,87.06,113Xe
25086.0,196.0,1388.69,9.81,3483.05,7.76,,,8009.83,13.36,,,113Cs
,,-33.0,310.0,3961.0,423.0,,,12953.0,298.0,,,113Ba
7256.0,585.0,,,,,23213.0,664.0,,,9031.0,586.0,114Nb
8486.0,357.0,30574.0,760.0,-9346.0,667.0,20415.0,298.0,,,4933.0,298.0,114Mo
9483.98,433.18,28904.0,526.0,-8715.29,943.63,17110.34,439.02,-25379.0,590.0,5196.51,434.71,114Tc
10733.63,10.23,27336.0,196.0,-8104.14,24.48,13269.13,7.71,-25021.0,300.0,474.41,7.87,114Ru
12121.76,84.05,25029.63,71.77,-7101.03,72.19,9220.17,71.71,-20188.05,71.64,-190.85,71.89,114Rh
13312.02,9.48,22438.07,11.85,-5843.28,11.31,6523.99,6.95,-18911.79,37.52,-4535.44,18.03,114Pd
14489.72,5.17,19777.24,44.32,-4527.03,18.38,3639.0,4.57,-13452.23,8.47,-3958.83,4.57,114Ag
15582.71,0.25,18271.31,6.55,-4108.94,0.63,544.79,0.28,-13712.81,6.95,-8719.13,0.3,114Cd
16722.3,4.26,16564.02,2.44,-3537.41,1.31,-4073.23,21.84,-8831.95,16.64,-8312.99,1.59,114In
18047.3,0.3,14562.81,0.25,-2636.67,0.38,-8671.15,27.94,-8805.41,0.25,-14214.07,17.19,114Sn
19040.24,28.19,11084.38,22.25,-451.52,24.71,-11700.0,151.0,-2418.43,21.84,-14220.86,35.47,114Sb
20463.7,29.18,7811.45,27.95,1528.5,31.16,-14802.68,30.1,-849.41,27.99,-18840.38,29.07,114Te
21876.0,149.0,5775.0,150.0,2229.0,149.0,-18114.0,165.0,4332.0,150.0,-18664.0,149.0,114I
23202.19,13.91,4096.32,13.97,2719.01,12.97,-21180.46,103.28,3972.17,30.1,-23392.68,14.09,114Xe
24534.62,112.2,2196.87,71.84,3357.0,50.0,,,9148.28,71.55,-22969.0,306.0,114Cs
,,457.03,103.01,3592.28,18.54,,,9009.22,102.9,,,114Ba
6986.0,643.0,,,,,24966.0,936.0,,,10382.0,585.0,115Nb
8402.0,500.0,,,-9614.0,806.0,21441.0,410.0,,,5780.0,590.0,115Mo
9651.08,789.45,30387.0,885.0,-9869.0,844.0,17909.84,789.48,-28222.0,936.0,5830.5,789.45,115Tc
10464.25,95.87,28278.0,313.0,-8674.89,89.39,14236.65,89.52,-23672.0,311.0,1449.57,113.81,115Ru
11604.93,10.14,25996.23,8.05,-7630.12,12.86,10752.82,19.67,-22918.51,433.21,1189.8,10.02,115Rh
12977.93,15.18,23136.21,39.28,-6066.03,16.65,7658.09,13.56,-17493.54,13.95,-3566.9,14.29,115Pd
14098.47,24.71,20793.06,19.61,-5103.12,19.51,4553.69,18.27,-16561.0,73.86,-3039.04,18.27,115Ag
15183.83,0.61,19071.33,6.97,-4523.51,0.95,1949.36,0.65,-11882.51,6.97,-7586.0,0.7,115Cd
16311.86,0.19,17087.46,16.64,-3745.81,1.46,-2532.94,16.03,-11894.52,4.56,-7047.94,0.03,115In
17848.34,1.57,15568.49,0.24,-3206.5,0.36,-7971.08,27.94,-7307.87,0.28,-13608.58,21.84,115Sn
18729.07,23.5,12214.23,16.03,-1036.28,16.39,-10665.61,33.03,-5722.57,16.03,-13186.15,32.21,115Sb
19858.36,39.52,8312.57,27.99,1450.91,28.45,-13406.01,30.46,1207.99,27.94,-17338.0,152.0,115Te
21360.92,29.97,6498.77,33.61,2074.02,30.2,-16638.0,106.0,869.81,36.2,-17323.22,30.96,115I
22595.76,13.91,4887.66,30.46,2505.81,13.71,-19637.0,201.0,5942.85,30.46,-22045.8,72.13,115Xe
24078.0,103.0,3158.0,103.0,2829.0,103.0,,,5808.0,181.0,-21865.0,145.0,115Cs
25378.0,359.0,1394.0,200.0,2951.0,218.0,,,10777.0,201.0,,,115Ba
7836.0,582.0,,,-10114.0,860.0,22569.0,500.0,,,6749.0,935.0,116Mo
8998.0,526.0,30646.0,585.0,-9607.0,422.0,19280.0,307.0,-27391.0,585.0,6663.0,311.0,116Tc
9989.73,5.15,28840.0,298.0,-9030.0,196.0,15762.73,8.05,-26609.0,401.0,2089.61,8.21,116Ru
11168.13,102.82,26713.78,439.39,-7902.1,74.04,11806.53,73.9,-21705.1,792.89,1618.95,75.06,116Rh
12483.33,9.88,24187.76,7.87,-6625.73,11.96,8880.85,7.13,-20930.87,88.77,-2920.3,19.61,116Pd
13754.49,5.61,21409.97,71.64,-5236.07,44.21,5707.1,3.27,-15601.79,8.01,-2529.49,3.32,116Ag
14840.18,0.31,19799.48,6.95,-4815.83,6.55,2813.49,0.13,-15575.06,13.55,-7247.45,0.16,116Cd
15822.58,0.37,17896.89,4.57,-4090.95,2.43,-1427.6,5.16,-10556.07,18.27,-6287.23,0.22,116In
17108.88,0.1,16088.98,0.29,-3376.03,0.27,-6257.01,27.94,-10730.46,0.66,-12593.88,16.03,116Sn
18468.21,22.44,12830.29,5.17,-1256.93,6.69,-9329.91,96.73,-4574.77,5.16,-12830.71,28.42,116Sb
19523.03,39.52,9287.18,27.94,961.18,27.95,-12222.24,30.84,-2524.1,27.94,-17002.48,40.18,116Te
20839.0,178.0,7573.6,99.03,1681.81,98.22,-15450.0,139.0,2222.2,97.91,-16906.81,97.35,116I
22103.47,17.18,5736.1,30.84,2095.87,15.5,-18467.0,201.0,1727.06,30.84,-21419.0,103.0,116Xe
23503.0,123.0,3824.0,180.0,2596.0,101.0,-21397.0,328.0,7006.0,104.0,-21094.0,224.0,116Cs
24817.0,225.0,2072.0,201.0,3021.0,200.0,,,6788.0,201.0,,,116Ba
,,541.0,320.0,3220.0,300.0,,,11765.0,329.0,,,116La
7564.0,641.0,,,,,23320.0,662.0,,,7214.0,582.0,117Mo
8204.0,885.0,31606.0,643.0,-10296.0,566.0,20516.0,401.0,,,7616.0,401.0,117Tc
9442.76,442.09,29319.0,590.0,-9425.0,527.0,16934.61,433.21,-25279.0,662.0,3174.94,439.39,117Ru
10810.18,11.45,27155.32,789.49,-8510.75,9.5,13284.64,16.22,-24731.0,298.0,2862.94,11.33,117Rh
12140.73,15.32,24812.68,88.78,-6981.27,37.58,9993.91,7.32,-19644.54,8.15,-1953.14,7.95,117Pd
13341.99,22.76,22530.12,15.41,-5839.39,15.32,6761.03,14.42,-18734.86,75.07,-1540.85,13.57,117Ag
14476.54,1.2,20569.94,13.58,-5252.21,7.02,3979.36,1.11,-13875.72,7.2,-6239.96,1.04,117Cd
15549.33,4.88,18538.33,18.91,-4341.14,17.34,-303.5,9.74,-13689.36,5.87,-5488.39,4.88,117In
16506.55,0.48,16891.21,0.81,-3779.38,0.54,-5302.34,13.46,-8974.24,0.49,-11646.92,5.18,117Sn
